word,source,language,datetime
psychologism.,"file:///mnt/onboard/Mills, C. Wright/Sociological Imagination, The - C. Wright Mills.epub",-en,2021-08-13T04:58:34Z
optative,"file:///mnt/onboard/Mills, C. Wright/Sociological Imagination, The - C. Wright Mills.epub",-en,2021-08-14T20:41:26Z
coyly,"file:///mnt/onboard/Mills, C. Wright/Sociological Imagination, The - C. Wright Mills.epub",-en,2021-08-15T00:19:00Z
pecuniary,"file:///mnt/onboard/Mills, C. Wright/Sociological Imagination, The - C. Wright Mills.epub",-en,2021-08-15T00:35:51Z
fructifying,"file:///mnt/onboard/Mills, C. Wright/Sociological Imagination, The - C. Wright Mills.epub",-en,2021-08-16T04:12:25Z
adroit,"file:///mnt/onboard/Mills, C. Wright/Sociological Imagination, The - C. Wright Mills.epub",-en,2021-08-16T04:15:08Z
dilettantish.,"file:///mnt/onboard/Mills, C. Wright/Sociological Imagination, The - C. Wright Mills.epub",-en,2021-08-17T03:25:58Z
quiescent,"file:///mnt/onboard/Mills, C. Wright/Sociological Imagination, The - C. Wright Mills.epub",-en,2021-08-17T03:50:46Z
betoken,"file:///mnt/onboard/Mills, C. Wright/Sociological Imagination, The - C. Wright Mills.epub",-en,2021-08-17T15:59:58Z
prelapsarian,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-18T02:10:43Z
aporias,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-18T03:08:35Z
atavism,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-18T17:17:47Z
quotidian,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-18T17:23:46Z
incredulity,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-18T17:24:43Z
metanarratives,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-18T17:24:59Z
semiotic,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-18T21:35:36Z
quango,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-18T21:36:15Z
introjection,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-18T21:40:55Z
denigration.,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-18T21:41:30Z
assiduously,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-18T21:46:22Z
confabulations,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-19T02:37:02Z
arduous,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-19T02:40:47Z
repudiation,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-19T02:41:18Z
neoliberalism,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-19T02:41:37Z
simulacra,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-19T02:43:40Z
evanescent,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-19T02:46:07Z
extirpation,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-19T02:46:53Z
lacunae,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-19T02:49:15Z
deracinates,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-19T02:50:41Z
dissimulation:,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-19T03:02:45Z
superciliousness,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-19T03:10:56Z
moribund,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-19T03:11:08Z
abnegate,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-19T03:16:36Z
anodyne,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-19T03:16:48Z
cretinous,"file:///mnt/onboard/Fisher, Mark/Capitalist Realism - Mark Fisher.epub",-en,2021-08-19T03:26:21Z
"affluent,","file:///mnt/onboard/Anderson, Elijah/Code of the Street - Elijah Anderson.epub",-en,2021-08-19T03:39:32Z
belie,"file:///mnt/onboard/Anderson, Elijah/Code of the Street - Elijah Anderson.epub",-en,2021-08-19T03:45:26Z
"aplomb,","file:///mnt/onboard/Anderson, Elijah/Code of the Street - Elijah Anderson.epub",-en,2021-08-19T03:53:03Z
imputations,"file:///mnt/onboard/Anderson, Elijah/Code of the Street - Elijah Anderson.epub",-en,2021-08-19T04:52:06Z
compunctions,"file:///mnt/onboard/Anderson, Elijah/Code of the Street - Elijah Anderson.epub",-en,2021-08-19T05:15:45Z
adjudicated?,"file:///mnt/onboard/Anderson, Elijah/Code of the Street - Elijah Anderson.epub",-en,2021-08-21T15:24:31Z
insouciance,"file:///mnt/onboard/Said, Edward W_/Orientalism - Edward W. Said.epub",-en,2021-08-21T15:44:59Z
jejune,"file:///mnt/onboard/Said, Edward W_/Orientalism - Edward W. Said.epub",-en,2021-08-21T15:45:05Z
imprecations,"file:///mnt/onboard/Said, Edward W_/Orientalism - Edward W. Said.epub",-en,2021-08-22T03:47:12Z
facile,"file:///mnt/onboard/Said, Edward W_/Orientalism - Edward W. Said.epub",-en,2021-08-22T03:48:25Z
veridic,"file:///mnt/onboard/Said, Edward W_/Orientalism - Edward W. Said.epub",-en,2021-08-22T04:03:10Z
doxological,"file:///mnt/onboard/Said, Edward W_/Orientalism - Edward W. Said.epub",-en,2021-08-23T05:16:52Z
fain,"file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-08-28T04:58:25Z
"probity,","file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-08-28T04:59:07Z
obscurantism,"file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-08-28T05:02:17Z
amiable,"file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-08-29T05:22:30Z
pertinacity,"file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-08-31T04:38:32Z
dragoman,"file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-08-31T04:45:25Z
perfidious,"file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-09-01T04:18:35Z
stentorian,"file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-09-02T04:49:00Z
succour;,"file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-09-02T04:53:13Z
visage.,"file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-09-03T17:25:19Z
gabions,"file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-09-04T04:08:51Z
fascines,"file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-09-04T04:09:04Z
ardent,"file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-09-04T04:22:29Z
priest;,"file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-09-04T14:00:54Z
"physiognomies,","file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-09-04T20:24:04Z
strictures,"file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-09-04T20:58:04Z
macadam,"file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-09-04T21:00:57Z
Albion,"file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-09-04T21:03:30Z
firman,"file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-09-05T01:29:51Z
didactic,"file:///mnt/onboard/Figes, Orlando/Crimean War, The - Orlando Figes.epub",-en,2021-09-07T12:04:00Z
claptrap.,"file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-09T03:31:49Z
"reactionaries,","file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-09T03:40:28Z
factitious,"file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-09T03:47:41Z
"cognoscenti,","file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-09T03:48:06Z
"chattel,","file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-10T12:34:54Z
"genuflection,","file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-11T01:12:20Z
groupuscule.,"file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-11T02:06:56Z
seamier,"file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-12T04:02:16Z
vituperation,"file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-12T04:06:54Z
refuseniks,"file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-13T04:40:15Z
chiliastic,"file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-14T00:26:31Z
penury.,"file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-14T00:35:35Z
epiphenomenal,"file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-14T00:48:33Z
idiosyncratic,"file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-14T00:48:48Z
utopian.,"file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-14T00:51:49Z
verboten,"file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-14T00:56:33Z
profligacy,"file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-14T00:57:04Z
chimera,"file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-14T01:11:04Z
moment.,"file:///mnt/onboard/Parenti, Michael/Blackshirts and Reds_ Rational Fascism and the Overthrow of Communism - Michael Parenti.epub",-en,2021-09-14T01:11:16Z
chivvied,"file:///mnt/onboard/Cornwell, Bernard/Last Kingdom, The - Bernard Cornwell.epub",-en,2021-09-14T20:31:28Z
morose,"file:///mnt/onboard/Cornwell, Bernard/Last Kingdom, The - Bernard Cornwell.epub",-en,2021-09-14T20:34:46Z
grim,"file:///mnt/onboard/Cornwell, Bernard/Last Kingdom, The - Bernard Cornwell.epub",-en,2021-09-14T20:42:38Z
"shieling,","file:///mnt/onboard/Cornwell, Bernard/Last Kingdom, The - Bernard Cornwell.epub",-en,2021-09-14T20:51:20Z
reprovingly,"file:///mnt/onboard/Cornwell, Bernard/Last Kingdom, The - Bernard Cornwell.epub",-en,2021-09-14T21:28:37Z
rapaciously.,"file:///mnt/onboard/Cornwell, Bernard/Last Kingdom, The - Bernard Cornwell.epub",-en,2021-09-15T04:23:18Z
withies,"file:///mnt/onboard/Cornwell, Bernard/Last Kingdom, The - Bernard Cornwell.epub",-en,2021-09-15T18:44:02Z
reeve,"file:///mnt/onboard/Cornwell, Bernard/Last Kingdom, The - Bernard Cornwell.epub",-en,2021-09-15T18:51:40Z
"turves,","file:///mnt/onboard/Cornwell, Bernard/Last Kingdom, The - Bernard Cornwell.epub",-en,2021-09-15T18:57:56Z
combe,"file:///mnt/onboard/Cornwell, Bernard/Last Kingdom, The - Bernard Cornwell.epub",-en,2021-09-16T10:38:00Z
mettlesome,"file:///mnt/onboard/Tacitus & Tacitus & Mattingly, Harold & Rives, J.B_/Agricola and the Germania - Tacitus & Harold Mattingly & J.B. Rives.epub",-en,2021-09-17T13:08:52Z
loiter,"file:///mnt/onboard/Wright, Richard/Black Boy - Richard Wright.epub",-en,2021-09-17T16:08:36Z
asafetida,"file:///mnt/onboard/Wright, Richard/Black Boy - Richard Wright.epub",-en,2021-09-18T03:37:47Z
roundhouse,"file:///mnt/onboard/Wright, Richard/Black Boy - Richard Wright.epub",-en,2021-09-18T03:47:59Z
walleyed,"file:///mnt/onboard/Wright, Richard/Black Boy - Richard Wright.epub",-en,2021-09-18T05:09:35Z
urbanity,"file:///mnt/onboard/Wright, Richard/Black Boy - Richard Wright.epub",-en,2021-09-20T03:47:29Z
passional,"file:///mnt/onboard/Wright, Richard/Black Boy - Richard Wright.epub",-en,2021-09-20T14:11:41Z
mellifluous,"file:///mnt/onboard/Ludlum, Robert/Bourne Identity, The - Robert Ludlum.epub",-en,2021-09-21T00:17:05Z
ebullient,"file:///mnt/onboard/Ludlum, Robert/Bourne Identity, The - Robert Ludlum.epub",-en,2021-09-21T04:02:54Z
sacristy.,"file:///mnt/onboard/Ludlum, Robert/Bourne Identity, The - Robert Ludlum.epub",-en,2021-09-23T03:37:43Z
"Savonarola,","file:///mnt/onboard/Ludlum, Robert/Bourne Identity, The - Robert Ludlum.epub",-en,2021-09-23T04:32:17Z
seedily,"file:///mnt/onboard/Ludlum, Robert/Bourne Identity, The - Robert Ludlum.epub",-en,2021-09-24T03:22:39Z
